facility_id,facility_name,state,hospital_type,hospital_ownership,emergency_services,hospital_overall_rating,COMP_HIP_KNEE,MORT_30_AMI,MORT_30_HF,MORT_30_PN,H_CLEAN_HSP_A_P,H_COMP_1_A_P,H_COMP_2_A_P,H_COMP_5_A_P,H_COMP_6_Y_P,H_HSP_RATING_9_10,H_QUIET_HSP_A_P,H_RECMND_DY,READM_30_AMI,READM_30_HF,READM_30_PN,composite_satisfaction_score,performance_tier,satisfaction_tier,IMM_3,OP_18a,OP_18b,OP_22,OP_23,avg_er_wait_minutes,er_inefficiency_flag
010036,ANDALUSIA HEALTH,AL,Acute Care Hospitals,Proprietary,Yes,2.0,3.4,12.1,12.9,18.3,62.0,79.0,80.0,64.0,78.0,62.0,57.0,58.0,13.6,20.5,15.1,67.5,Low Performer,Medium,78.0,168.0,158.0,3.0,60.0,158.0,0
010039,HUNTSVILLE HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,2.7,17.1,13.0,20.9,68.0,79.0,81.0,61.0,88.0,70.0,62.0,76.0,12.1,19.5,14.7,73.12,Average,Medium,71.0,258.0,252.0,1.0,54.0,252.0,0
010040,GADSDEN REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,Yes,2.0,4.2,11.1,10.8,20.1,61.0,73.0,74.0,57.0,82.0,54.0,59.0,56.0,13.3,19.1,16.2,64.5,Low Performer,Medium,19.0,214.0,202.0,2.0,,202.0,0
010044,MARION REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,3.5,12.1,13.9,16.7,91.0,90.0,86.0,76.0,91.0,83.0,73.0,86.0,13.6,18.6,16.0,84.5,Average,High,69.0,103.0,103.0,2.0,,103.0,0
010045,FAYETTE MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4.0,3.5,12.1,10.8,15.9,84.0,87.0,90.0,66.0,90.0,86.0,77.0,82.0,13.6,19.7,15.9,82.75,High Performer,High,87.0,131.0,116.0,3.0,,116.0,0
010046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,Yes,3.0,3.2,12.0,12.2,18.5,69.0,77.0,73.0,61.0,87.0,66.0,62.0,74.0,13.7,21.7,17.9,71.12,Average,Medium,83.0,160.0,160.0,2.0,,160.0,0
010049,MEDICAL CENTER ENTERPRISE,AL,Acute Care Hospitals,Proprietary,Yes,4.0,3.0,12.1,12.6,19.9,66.0,82.0,82.0,63.0,85.0,68.0,68.0,60.0,13.6,18.7,16.0,71.75,High Performer,Medium,48.0,143.0,138.0,1.0,73.0,138.0,0
010051,GREENE COUNTY HOSPITAL,AL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,3.5,12.1,11.5,16.2,73.0,80.0,79.0,61.0,87.0,72.0,60.0,71.0,13.6,19.6,15.9,72.88,Average,Medium,95.0,146.0,138.0,1.0,,138.0,0
010052,LAKE MARTIN COMMUNITY HOSPITAL,AL,Acute Care Hospitals,Proprietary,Yes,3.0,3.5,12.1,11.5,18.7,80.0,82.0,86.0,73.0,93.0,79.0,68.0,76.0,13.6,19.6,16.2,79.62,Average,High,20.0,116.0,111.0,0.0,,111.0,0
010055,FLOWERS HOSPITAL,AL,Acute Care Hospitals,Proprietary,Yes,2.0,4.1,14.3,13.9,17.5,68.0,77.0,78.0,62.0,84.0,68.0,62.0,68.0,14.5,19.2,16.7,70.88,Low Performer,Medium,46.0,228.0,224.0,5.0,,224.0,0
010056,ST VINCENT'S BIRMINGHAM,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,4.7,12.1,10.7,14.5,55.0,73.0,78.0,54.0,84.0,66.0,65.0,71.0,14.6,19.3,17.2,68.25,Average,Medium,65.0,247.0,245.0,,,245.0,0
010058,BIBB MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,3.5,12.1,11.5,17.6,71.0,88.0,87.0,62.0,89.0,67.0,60.0,69.0,13.6,19.6,14.9,74.12,Average,Medium,76.0,133.0,126.0,3.0,,126.0,0
010061,HIGHLANDS MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,3.5,12.1,13.6,19.0,83.0,85.0,86.0,68.0,85.0,71.0,75.0,64.0,13.6,18.6,15.4,77.12,Average,High,72.0,176.0,172.0,3.0,21.0,172.0,0
010062,WIREGRASS MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,3.5,12.1,11.5,16.2,58.0,79.0,82.0,67.0,86.0,79.0,56.0,88.0,13.6,19.6,15.9,74.38,Average,Medium,45.0,112.0,112.0,4.0,,112.0,0
010065,RUSSELL MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,3.3,12.2,12.1,22.4,78.0,78.0,74.0,55.0,88.0,69.0,67.0,69.0,13.7,19.1,15.0,72.25,Average,Medium,60.0,159.0,151.0,2.0,58.0,151.0,0
010073,CLAY COUNTY HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,3.5,12.1,11.5,19.1,71.0,82.0,87.0,34.0,84.0,84.0,74.0,75.0,13.6,19.6,15.6,73.88,Average,Medium,60.0,93.0,90.0,0.0,,90.0,0
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Government - Local,Yes,1.0,4.2,13.8,13.3,19.8,61.0,71.0,73.0,53.0,83.0,58.0,61.0,53.0,15.5,19.5,15.6,64.12,Low Performer,Medium,74.0,235.0,232.0,4.0,82.0,232.0,0
010079,ATHENS LIMESTONE HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2.0,3.1,12.1,8.8,21.2,70.0,85.0,84.0,65.0,89.0,78.0,68.0,74.0,13.6,19.1,17.3,76.62,Low Performer,High,58.0,187.0,183.0,2.0,,183.0,0
010083,BALDWIN HEALTH,AL,Acute Care Hospitals,Proprietary,Yes,4.0,4.8,11.4,12.6,16.9,64.0,80.0,79.0,61.0,83.0,66.0,63.0,68.0,13.2,20.0,16.1,70.5,High Performer,Medium,49.0,131.0,131.0,2.0,77.0,131.0,0
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,5.9,12.2,14.8,17.6,74.0,79.0,81.0,61.0,88.0,68.0,61.0,62.0,13.3,18.4,15.2,71.75,Average,Medium,82.0,158.0,153.0,1.0,86.0,153.0,0
010086,NORTHWEST MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,Yes,4.0,3.5,12.1,10.9,16.3,76.0,67.0,81.0,51.0,92.0,61.0,72.0,70.0,13.6,19.9,14.6,71.25,High Performer,Medium,51.0,149.0,134.0,4.0,64.0,134.0,0
010087,USA HEALTH UNIVERSITY HOSPITAL,AL,Acute Care Hospitals,Government - State,Yes,2.0,3.5,11.3,12.5,16.4,63.0,76.0,78.0,59.0,85.0,67.0,55.0,71.0,13.3,19.9,15.9,69.25,Low Performer,Medium,85.0,219.0,214.0,2.0,,214.0,0
010089,WALKER BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,Yes,3.0,3.5,12.1,11.3,15.5,54.0,76.0,77.0,58.0,82.0,58.0,51.0,53.0,13.6,20.0,15.4,63.62,Average,Medium,72.0,158.0,157.0,3.0,,157.0,0
010090,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",AL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,3.1,13.9,10.5,17.6,61.0,72.0,76.0,56.0,84.0,63.0,55.0,60.0,15.0,19.2,18.0,65.88,Average,Medium,73.0,204.0,200.0,6.0,,200.0,0
010091,GROVE HILL MEMORIAL HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,3.5,12.1,11.5,16.2,73.0,80.0,79.0,61.0,87.0,72.0,60.0,71.0,13.6,19.6,15.9,72.88,Average,Medium,16.0,169.0,162.0,2.0,,162.0,0
010092,DCH REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2.0,3.5,13.3,13.6,16.2,61.0,74.0,77.0,58.0,84.0,65.0,56.0,63.0,14.2,20.3,17.0,67.25,Low Performer,Medium,95.0,231.0,228.0,4.0,86.0,228.0,0
010095,HALE COUNTY HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,3.5,12.1,11.5,16.2,85.0,87.0,86.0,81.0,89.0,82.0,77.0,83.0,13.6,19.6,15.9,83.75,Average,High,47.0,108.0,102.0,4.0,,102.0,0
010097,ELMORE COMMUNITY HOSPITAL,AL,Acute Care Hospitals,Proprietary,Yes,3.0,3.5,12.1,11.5,17.9,79.0,84.0,84.0,68.0,84.0,66.0,81.0,70.0,13.6,19.6,16.4,77.0,Average,High,33.0,109.0,107.0,3.0,,107.0,0
010099,D W MCMILLAN MEMORIAL HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,1.0,3.5,12.1,10.8,20.7,77.0,74.0,77.0,58.0,85.0,64.0,59.0,61.0,13.6,20.1,15.6,69.38,Low Performer,Medium,49.0,170.0,162.0,4.0,,162.0,0
010100,THOMAS HOSPITAL,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,4.0,12.1,12.7,20.5,65.0,81.0,80.0,62.0,86.0,71.0,61.0,73.0,13.0,20.9,17.1,72.38,Low Performer,Medium,49.0,191.0,189.0,5.0,,189.0,0
010101,CITIZENS BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,3.5,12.1,12.6,15.4,79.0,89.0,84.0,73.0,87.0,81.0,76.0,73.0,13.6,19.4,17.8,80.25,Low Performer,High,80.0,120.0,118.0,1.0,,118.0,0
010103,PRINCETON BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,3.3,14.8,10.4,17.0,59.0,78.0,82.0,61.0,81.0,64.0,63.0,61.0,14.6,17.6,15.7,68.62,Average,Medium,67.0,168.0,168.0,1.0,,168.0,0
010104,GRANDVIEW MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,Yes,3.0,4.2,12.8,12.6,15.4,58.0,78.0,80.0,58.0,85.0,73.0,66.0,74.0,14.9,19.9,14.7,71.5,Average,Medium,33.0,174.0,176.0,1.0,,176.0,0
010108,PRATTVILLE BAPTIST HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,3.5,12.1,13.1,17.7,69.0,79.0,79.0,63.0,87.0,74.0,59.0,70.0,13.6,20.5,15.9,72.5,Average,Medium,94.0,213.0,208.0,6.0,,208.0,0
010110,BULLOCK COUNTY HOSPITAL,AL,Acute Care Hospitals,Proprietary,Yes,3.0,3.5,12.1,11.5,16.2,73.0,80.0,79.0,61.0,87.0,72.0,60.0,71.0,13.6,19.6,15.9,72.88,Average,Medium,,,,,,,0
010112,WHITFIELD REGIONAL HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2.0,3.5,12.1,10.9,16.0,72.0,74.0,82.0,49.0,81.0,62.0,62.0,59.0,13.6,20.4,15.0,67.62,Low Performer,Medium,59.0,126.0,120.0,0.0,58.0,120.0,0
010113,MOBILE INFIRMARY MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,4.0,12.0,11.6,19.6,64.0,77.0,79.0,62.0,86.0,65.0,57.0,64.0,13.9,21.3,15.0,69.25,Low Performer,Medium,68.0,188.0,185.0,4.0,,185.0,0
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,3.5,12.1,12.5,13.6,70.0,72.0,80.0,57.0,80.0,70.0,69.0,69.0,13.6,19.5,15.7,70.88,Average,Medium,,150.0,149.0,2.0,71.0,149.0,0
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,Acute Care Hospitals,Proprietary,Yes,2.0,3.5,12.1,10.5,18.0,71.0,77.0,80.0,59.0,75.0,53.0,70.0,46.0,13.6,18.3,17.3,66.38,Low Performer,Medium,74.0,172.0,170.0,2.0,50.0,170.0,0
010120,MONROE COUNTY HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,1.0,3.5,12.1,15.2,21.2,76.0,82.0,81.0,61.0,81.0,63.0,72.0,60.0,13.6,20.1,16.5,72.0,Low Performer,Medium,51.0,133.0,126.0,2.0,50.0,126.0,0
010125,LAKELAND COMMUNITY HOSPITAL,AL,Acute Care Hospitals,Proprietary,Yes,3.0,3.5,12.1,15.1,14.0,84.0,85.0,83.0,64.0,90.0,75.0,76.0,73.0,13.6,19.8,15.4,78.75,Average,High,59.0,103.0,98.0,2.0,,98.0,0
010126,TROY REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Government - Federal,Yes,4.0,3.5,12.1,12.3,17.8,74.0,81.0,83.0,59.0,84.0,72.0,70.0,71.0,13.6,20.4,15.8,74.25,High Performer,Medium,87.0,114.0,110.0,1.0,,110.0,0
010128,JACKSON MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,Yes,3.0,3.5,12.1,11.5,16.2,94.0,89.0,80.0,77.0,90.0,86.0,84.0,86.0,13.6,19.6,15.9,85.75,Average,High,27.0,133.0,123.0,6.0,,123.0,0
010129,NORTH BALDWIN INFIRMARY,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,3.5,12.1,13.6,18.5,87.0,87.0,89.0,71.0,89.0,82.0,71.0,80.0,13.6,19.4,16.5,82.0,Average,High,47.0,190.0,183.0,4.0,,183.0,0
010130,ST VINCENT'S ST CLAIR,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,3.5,12.1,12.7,18.0,71.0,82.0,77.0,61.0,88.0,75.0,62.0,73.0,13.6,20.8,16.5,73.62,Average,Medium,76.0,163.0,156.0,,,156.0,0
010131,CRESTWOOD MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,Yes,3.0,4.1,11.3,14.2,18.6,62.0,77.0,77.0,56.0,80.0,62.0,63.0,68.0,15.1,21.3,17.4,68.12,Average,Medium,48.0,166.0,166.0,0.0,,166.0,0
010138,HILL HOSPITAL OF SUMTER COUNTY,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,3.5,12.1,11.5,16.2,73.0,80.0,79.0,61.0,87.0,72.0,60.0,71.0,13.6,19.6,15.9,72.88,Average,Medium,11.0,141.0,140.0,2.0,,140.0,0
010139,BAPTIST HEALTH BROOKWOOD HOSPITAL,AL,Acute Care Hospitals,Proprietary,Yes,3.0,3.5,13.2,11.6,16.2,62.0,72.0,79.0,54.0,82.0,60.0,55.0,58.0,13.2,19.7,14.8,65.25,Average,Medium,69.0,156.0,155.0,2.0,,155.0,0
010144,SPRINGHILL MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,Yes,3.0,3.8,13.0,13.4,15.7,55.0,71.0,77.0,54.0,87.0,68.0,58.0,72.0,13.6,20.2,15.7,67.75,Average,Medium,89.0,147.0,146.0,2.0,62.0,146.0,0
010148,EVERGREEN MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,Yes,3.0,3.5,12.1,9.8,21.3,75.0,79.0,91.0,65.0,86.0,69.0,71.0,72.0,13.6,19.3,16.3,76.0,Average,High,7.0,131.0,124.0,2.0,,124.0,0
010149,BAPTIST MEDICAL CENTER EAST,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4.0,3.5,11.9,10.4,16.3,68.0,77.0,78.0,60.0,87.0,74.0,62.0,76.0,13.7,21.6,16.6,72.75,High Performer,Medium,94.0,244.0,238.0,6.0,43.0,238.0,0
01014F,BIRMINGHAM VA MEDICAL CENTER,AL,Acute Care - Veterans Administration,Veterans Health Administration,Yes,4.0,3.8,12.3,8.4,13.5,71.0,81.0,84.0,73.0,88.0,78.0,63.0,71.0,13.8,19.4,15.2,76.12,High Performer,High,,,,,,,0
010150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,AL,Acute Care Hospitals,Proprietary,Yes,3.0,3.5,12.1,11.5,16.2,72.0,81.0,79.0,61.0,77.0,66.0,61.0,57.0,13.6,19.6,15.9,69.25,Average,Medium,31.0,130.0,125.0,1.0,,125.0,0
010157,NORTH ALABAMA SHOALS HOSPITAL,AL,Acute Care Hospitals,Proprietary,Yes,3.0,3.5,12.1,11.5,16.2,82.0,92.0,88.0,74.0,88.0,89.0,90.0,90.0,13.6,19.6,15.9,86.62,Average,High,62.0,109.0,102.0,1.0,,102.0,0
010158,RUSSELLVILLE HOSPITAL,AL,Acute Care Hospitals,Proprietary,Yes,4.0,3.9,12.1,11.5,16.4,72.0,70.0,80.0,66.0,82.0,68.0,61.0,65.0,13.6,19.6,16.4,70.5,High Performer,Medium,72.0,106.0,103.0,1.0,,103.0,0
010164,COOSA VALLEY MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,3.5,12.1,12.5,18.9,66.0,77.0,84.0,58.0,87.0,69.0,68.0,66.0,13.6,20.0,18.0,71.88,Average,Medium,90.0,127.0,122.0,0.0,,122.0,0
010168,JACK HUGHSTON MEMORIAL HOSPITAL,AL,Acute Care Hospitals,Government - State,Yes,4.0,3.7,12.1,11.5,16.2,76.0,86.0,84.0,71.0,86.0,86.0,77.0,88.0,13.6,19.6,15.9,81.75,High Performer,High,41.0,128.0,123.0,1.0,,123.0,0
010169,ATMORE COMMUNITY HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,3.5,12.1,10.5,18.7,75.0,81.0,88.0,66.0,87.0,68.0,75.0,63.0,13.6,20.4,15.9,75.38,Average,High,66.0,126.0,123.0,3.0,,123.0,0
010173,ST VINCENT'S CHILTON,AL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,3.5,12.1,11.5,16.4,59.0,90.0,82.0,71.0,92.0,86.0,76.0,87.0,13.6,19.6,15.6,80.38,Average,High,78.0,177.0,164.0,,73.0,164.0,0
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,AL,Acute Care - Veterans Administration,Veterans Health Administration,Yes,4.0,3.5,12.1,8.5,14.0,78.0,85.0,86.0,66.0,85.0,80.0,69.0,70.0,13.6,18.9,15.7,77.38,High Performer,High,,,,,,,0
01021F,TUSCALOOSA VA MEDICAL CENTER,AL,Acute Care - Veterans Administration,Veterans Health Administration,No,3.0,3.5,12.1,11.5,16.2,73.0,80.0,79.0,61.0,87.0,72.0,60.0,71.0,13.6,19.6,15.9,72.88,Average,Medium,,,,,,,0
010779,BULLOCK COUNTY HOSPITAL,AL,Rural Emergency Hospital,Proprietary,Yes,3.0,3.5,12.1,11.5,16.2,73.0,80.0,79.0,61.0,87.0,72.0,60.0,71.0,13.6,19.6,15.9,72.88,Average,Medium,,,,,,,0
010780,EAMC - LANIER,AL,Rural Emergency Hospital,Government - Hospital District or Authority,Yes,3.0,3.5,12.1,11.5,16.2,73.0,80.0,79.0,61.0,87.0,72.0,60.0,71.0,13.6,19.6,15.9,72.88,Average,Medium,,,,,,,0
010781,J PAUL JONES HOSPITAL,AL,Rural Emergency Hospital,Government - Local,Yes,3.0,3.5,12.1,11.5,16.2,73.0,80.0,79.0,61.0,87.0,72.0,60.0,71.0,13.6,19.6,15.9,72.88,Average,Medium,,,,,,,0
011300,WASHINGTON COUNTY HOSPITAL,AL,Critical Access Hospitals,Government - Local,Yes,3.0,3.5,12.1,11.5,16.2,79.0,82.0,78.0,56.0,92.0,80.0,62.0,87.0,13.6,19.6,15.9,77.0,Average,High,,,,,,,0
011302,RED BAY HOSPITAL,AL,Critical Access Hospitals,Government - Hospital District or Authority,Yes,3.0,3.5,12.1,11.5,16.2,93.0,92.0,91.0,62.0,94.0,76.0,70.0,84.0,13.6,19.6,16.1,82.75,Average,High,61.0,133.0,131.0,1.0,,131.0,0
011304,OCHSNER CHOCTAW GENERAL,AL,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3.0,3.5,12.1,11.5,16.2,89.0,92.0,95.0,80.0,82.0,72.0,76.0,67.0,13.6,19.6,15.9,81.62,Average,High,90.0,130.0,121.0,1.0,,121.0,0
011305,ST VINCENTS BLOUNT,AL,Critical Access Hospitals,Voluntary non-profit - Private,No,3.0,3.5,12.1,11.5,19.1,73.0,80.0,79.0,61.0,87.0,72.0,60.0,71.0,13.6,19.6,15.8,72.88,Average,Medium,74.0,142.0,133.0,2.0,,133.0,0
011306,TANNER MEDICAL CENTER-EAST ALABAMA,AL,Critical Access Hospitals,Government - Hospital District or Authority,Yes,3.0,3.5,12.1,11.5,15.7,92.0,91.0,91.0,77.0,90.0,81.0,93.0,88.0,13.6,19.6,16.2,87.88,Average,High,88.0,100.0,94.0,0.0,,94.0,0
011307,MEDICAL CENTER BARBOUR,AL,Critical Access Hospitals,Government - Hospital District or Authority,Yes,3.0,3.5,12.1,11.5,16.2,73.0,80.0,79.0,61.0,87.0,72.0,60.0,71.0,13.6,19.6,15.9,72.88,Average,Medium,33.0,183.0,170.0,8.0,27.0,170.0,0
011308,CRENSHAW COMMUNITY HOSPITAL,AL,Critical Access Hospitals,Government - Hospital District or Authority,Yes,3.0,3.5,12.1,11.5,16.2,73.0,80.0,79.0,61.0,87.0,72.0,60.0,71.0,13.6,19.6,15.9,72.88,Average,Medium,,114.0,117.0,,,117.0,0
011309,WIREGRASS MEDICAL CENTER,AL,Critical Access Hospitals,Government - Hospital District or Authority,Yes,3.0,3.5,12.1,11.5,16.2,73.0,80.0,79.0,61.0,87.0,72.0,60.0,71.0,13.6,19.6,15.9,72.88,Average,Medium,,59.0,59.0,,,59.0,0
