facility_id,facility_name,state,hospital_type,hospital_ownership,emergency_services,hospital_overall_rating,COMP_HIP_KNEE,MORT_30_AMI,MORT_30_HF,MORT_30_PN,H_CLEAN_HSP_A_P,H_COMP_1_A_P,H_COMP_2_A_P,H_COMP_5_A_P,H_COMP_6_Y_P,H_HSP_RATING_9_10,H_QUIET_HSP_A_P,H_RECMND_DY,READM_30_AMI,READM_30_HF,READM_30_PN,composite_satisfaction_score,performance_tier,satisfaction_tier,IMM_3,OP_18a,OP_18b,OP_22,OP_23,avg_er_wait_minutes,er_inefficiency_flag,median_income,poverty_rate,unemployment_rate,pct_uninsured,pct_college_educated,log_median_income,pop_density_proxy,deprivation_index,pct_metro,pct_rural,avg_rucc_score,gnrl_fac_type_cd,cbsa_cd,bed_count,bed_size_category,log_bed_count,is_large_hospital,high_poverty_area,log_er_wait,rating_squared,state_avg_satisfaction,hospital_type_enc,hospital_ownership_enc,emergency_services_enc
010022,FLOYD CHEROKEE MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,Yes,3.0,3.5,12.1,11.5,16.2,69.0,87.0,87.0,74.0,87.0,78.0,82.0,72.0,13.6,19.6,15.5,79.5,Average,High,72.0,134.0,128.0,0.0,,128.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,99901,60.0,Medium (50-150),4.110873864173311,0,1,4.859812404361672,9.0,73.4959,2,6,1
010023,BAPTIST MEDICAL CENTER SOUTH,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2.0,4.3,12.8,12.5,17.4,68.0,75.0,76.0,62.0,84.0,68.0,58.0,67.0,13.6,20.8,16.7,69.75,Low Performer,Medium,94.0,215.0,214.0,2.0,,214.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,33860,432.0,Very Large (300-500),6.07073772800249,1,1,5.3706380281276624,4.0,73.4959,2,2,1
010024,JACKSON HOSPITAL & CLINIC INC,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,3.5,11.7,13.0,20.8,59.0,80.0,80.0,59.0,83.0,67.0,69.0,68.0,13.8,20.0,16.0,70.62,Low Performer,Medium,31.0,143.0,141.0,1.0,,141.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,33860,344.0,Very Large (300-500),5.84354441703136,1,1,4.955827057601261,4.0,73.4959,2,11,1
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,3.5,13.8,13.7,17.7,70.0,80.0,82.0,66.0,86.0,73.0,65.0,72.0,14.0,19.9,14.3,74.25,Average,Medium,77.0,205.0,202.0,5.0,,202.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,12220,429.0,Very Large (300-500),6.063785208687608,1,1,5.313205979041787,9.0,73.4959,2,2,1
010033,UNIVERSITY OF ALABAMA HOSPITAL,AL,Acute Care Hospitals,Government - State,Yes,2.0,4.7,11.3,10.2,14.5,62.0,78.0,80.0,61.0,89.0,74.0,58.0,79.0,15.9,19.3,17.7,72.62,Low Performer,Medium,94.0,223.0,215.0,2.0,,215.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,13820,1157.0,Major (500+),7.05444965813294,1,1,5.375278407684165,4.0,73.4959,2,4,1
010034,COMMUNITY HOSPITAL INC,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,3.5,12.1,11.5,16.2,78.0,85.0,81.0,72.0,89.0,66.0,75.0,66.0,13.6,19.6,15.9,76.5,Average,High,47.0,110.0,108.0,2.0,,108.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,33860,69.0,Medium (50-150),4.248495242049359,0,1,4.6913478822291435,9.0,73.4959,2,11,1
010035,CULLMAN REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2.0,3.9,12.6,11.6,20.0,69.0,81.0,78.0,59.0,83.0,69.0,68.0,64.0,14.2,19.2,15.8,71.38,Low Performer,Medium,78.0,171.0,158.0,1.0,93.0,158.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,99901,115.0,Medium (50-150),4.7535901911063645,0,1,5.0689042022202315,4.0,73.4959,2,2,1
010036,ANDALUSIA HEALTH,AL,Acute Care Hospitals,Proprietary,Yes,2.0,3.4,12.1,12.9,18.3,62.0,79.0,80.0,64.0,78.0,62.0,57.0,58.0,13.6,20.5,15.1,67.5,Low Performer,Medium,78.0,168.0,158.0,3.0,60.0,158.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,99901,88.0,Medium (50-150),4.48863636973214,0,1,5.0689042022202315,4.0,73.4959,2,6,1
010039,HUNTSVILLE HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,2.7,17.1,13.0,20.9,68.0,79.0,81.0,61.0,88.0,70.0,62.0,76.0,12.1,19.5,14.7,73.12,Average,Medium,71.0,258.0,252.0,1.0,54.0,252.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,26620,881.0,Major (500+),6.782192056006791,1,1,5.53338948872752,9.0,73.4959,2,2,1
010040,GADSDEN REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,Yes,2.0,4.2,11.1,10.8,20.1,61.0,73.0,74.0,57.0,82.0,54.0,59.0,56.0,13.3,19.1,16.2,64.5,Low Performer,Medium,19.0,214.0,202.0,2.0,,202.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,23460,346.0,Very Large (300-500),5.849324779946859,1,1,5.313205979041787,4.0,73.4959,2,6,1
010044,MARION REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,3.5,12.1,13.9,16.7,91.0,90.0,86.0,76.0,91.0,83.0,73.0,86.0,13.6,18.6,16.0,84.5,Average,High,69.0,103.0,103.0,2.0,,103.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,99901,57.0,Medium (50-150),4.060443010546419,0,1,4.6443908991413725,9.0,73.4959,2,11,1
010045,FAYETTE MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4.0,3.5,12.1,10.8,15.9,84.0,87.0,90.0,66.0,90.0,86.0,77.0,82.0,13.6,19.7,15.9,82.75,High Performer,High,87.0,131.0,116.0,3.0,,116.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,99901,61.0,Medium (50-150),4.127134385045092,0,1,4.762173934797756,16.0,73.4959,2,10,1
010046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,Yes,3.0,3.2,12.0,12.2,18.5,69.0,77.0,73.0,61.0,87.0,66.0,62.0,74.0,13.7,21.7,17.9,71.12,Average,Medium,83.0,160.0,160.0,2.0,,160.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,23460,281.0,Large (150-300),5.641907070938114,0,1,5.081404364984463,9.0,73.4959,2,6,1
010049,MEDICAL CENTER ENTERPRISE,AL,Acute Care Hospitals,Proprietary,Yes,4.0,3.0,12.1,12.6,19.9,66.0,82.0,82.0,63.0,85.0,68.0,68.0,60.0,13.6,18.7,16.0,71.75,High Performer,Medium,48.0,143.0,138.0,1.0,73.0,138.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,99901,131.0,Medium (50-150),4.882801922586371,0,1,4.9344739331306915,16.0,73.4959,2,6,1
010051,GREENE COUNTY HOSPITAL,AL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,3.5,12.1,11.5,16.2,73.0,80.0,79.0,61.0,87.0,72.0,60.0,71.0,13.6,19.6,15.9,72.88,Average,Medium,95.0,146.0,138.0,1.0,,138.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,99901,20.0,Small (<50),3.044522437723423,0,1,4.9344739331306915,9.0,73.4959,2,10,1
010052,LAKE MARTIN COMMUNITY HOSPITAL,AL,Acute Care Hospitals,Proprietary,Yes,3.0,3.5,12.1,11.5,18.7,80.0,82.0,86.0,73.0,93.0,79.0,68.0,76.0,13.6,19.6,16.2,79.62,Average,High,20.0,116.0,111.0,0.0,,111.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,99901,46.0,Small (<50),3.8501476017100584,0,1,4.718498871295094,9.0,73.4959,2,6,1
010055,FLOWERS HOSPITAL,AL,Acute Care Hospitals,Proprietary,Yes,2.0,4.1,14.3,13.9,17.5,68.0,77.0,78.0,62.0,84.0,68.0,62.0,68.0,14.5,19.2,16.7,70.88,Low Performer,Medium,46.0,228.0,224.0,5.0,,224.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,20020,235.0,Large (150-300),5.4638318050256105,0,1,5.41610040220442,4.0,73.4959,2,6,1
010056,ST VINCENT'S BIRMINGHAM,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,4.7,12.1,10.7,14.5,55.0,73.0,78.0,54.0,84.0,66.0,65.0,71.0,14.6,19.3,17.2,68.25,Average,Medium,65.0,247.0,245.0,,,245.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,13820,409.0,Very Large (300-500),6.016157159698354,1,1,5.5053315359323625,9.0,73.4959,2,11,1
010058,BIBB MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,3.5,12.1,11.5,17.6,71.0,88.0,87.0,62.0,89.0,67.0,60.0,69.0,13.6,19.6,14.9,74.12,Average,Medium,76.0,133.0,126.0,3.0,,126.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,13820,35.0,Small (<50),3.58351893845611,0,1,4.844187086458591,9.0,73.4959,2,2,1
010061,HIGHLANDS MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,3.5,12.1,13.6,19.0,83.0,85.0,86.0,68.0,85.0,71.0,75.0,64.0,13.6,18.6,15.4,77.12,Average,High,72.0,176.0,172.0,3.0,21.0,172.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,99901,170.0,Large (150-300),5.14166355650266,0,1,5.153291594497779,9.0,73.4959,2,2,1
010062,WIREGRASS MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,3.5,12.1,11.5,16.2,58.0,79.0,82.0,67.0,86.0,79.0,56.0,88.0,13.6,19.6,15.9,74.38,Average,Medium,45.0,112.0,112.0,4.0,,112.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,20020,87.0,Medium (50-150),4.477336814478207,0,1,4.727387818712341,9.0,73.4959,2,2,1
010065,RUSSELL MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,3.3,12.2,12.1,22.4,78.0,78.0,74.0,55.0,88.0,69.0,67.0,69.0,13.7,19.1,15.0,72.25,Average,Medium,60.0,159.0,151.0,2.0,58.0,151.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,99901,81.0,Medium (50-150),4.406719247264253,0,1,5.0238805208462765,9.0,73.4959,2,11,1
010073,CLAY COUNTY HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,3.5,12.1,11.5,19.1,71.0,82.0,87.0,34.0,84.0,84.0,74.0,75.0,13.6,19.6,15.6,73.88,Average,Medium,60.0,93.0,90.0,0.0,,90.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,99901,46.0,Small (<50),3.8501476017100584,0,1,4.51085950651685,9.0,73.4959,2,2,1
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Government - Local,Yes,1.0,4.2,13.8,13.3,19.8,61.0,71.0,73.0,53.0,83.0,58.0,61.0,53.0,15.5,19.5,15.6,64.12,Low Performer,Medium,74.0,235.0,232.0,4.0,82.0,232.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,11500,323.0,Very Large (300-500),5.780743515792329,1,1,5.4510384535657,1.0,73.4959,2,3,1
010079,ATHENS LIMESTONE HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2.0,3.1,12.1,8.8,21.2,70.0,85.0,84.0,65.0,89.0,78.0,68.0,74.0,13.6,19.1,17.3,76.62,Low Performer,High,58.0,187.0,183.0,2.0,,183.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,26620,71.0,Medium (50-150),4.276666119016055,0,1,5.214935757608986,4.0,73.4959,2,2,1
010083,BALDWIN HEALTH,AL,Acute Care Hospitals,Proprietary,Yes,4.0,4.8,11.4,12.6,16.9,64.0,80.0,79.0,61.0,83.0,66.0,63.0,68.0,13.2,20.0,16.1,70.5,High Performer,Medium,49.0,131.0,131.0,2.0,77.0,131.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,19300,112.0,Medium (50-150),4.727387818712341,0,1,4.882801922586371,16.0,73.4959,2,6,1
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,5.9,12.2,14.8,17.6,74.0,79.0,81.0,61.0,88.0,68.0,61.0,62.0,13.3,18.4,15.2,71.75,Average,Medium,82.0,158.0,153.0,1.0,86.0,153.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,19460,457.0,Very Large (300-500),6.126869184114185,1,1,5.0369526024136295,9.0,73.4959,2,2,1
010086,NORTHWEST MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,Yes,4.0,3.5,12.1,10.9,16.3,76.0,67.0,81.0,51.0,92.0,61.0,72.0,70.0,13.6,19.9,14.6,71.25,High Performer,Medium,51.0,149.0,134.0,4.0,64.0,134.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,99901,71.0,Medium (50-150),4.276666119016055,0,1,4.90527477843843,16.0,73.4959,2,6,1
010087,USA HEALTH UNIVERSITY HOSPITAL,AL,Acute Care Hospitals,Government - State,Yes,2.0,3.5,11.3,12.5,16.4,63.0,76.0,78.0,59.0,85.0,67.0,55.0,71.0,13.3,19.9,15.9,69.25,Low Performer,Medium,85.0,219.0,214.0,2.0,,214.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,33660,406.0,Very Large (300-500),6.008813185442595,1,1,5.3706380281276624,4.0,73.4959,2,4,1
010089,WALKER BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,Yes,3.0,3.5,12.1,11.3,15.5,54.0,76.0,77.0,58.0,82.0,58.0,51.0,53.0,13.6,20.0,15.4,63.62,Average,Medium,72.0,158.0,157.0,3.0,,157.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,13820,267.0,Large (150-300),5.5909869805108565,0,1,5.062595033026967,9.0,73.4959,2,6,1
010090,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",AL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,3.1,13.9,10.5,17.6,61.0,72.0,76.0,56.0,84.0,63.0,55.0,60.0,15.0,19.2,18.0,65.88,Average,Medium,73.0,204.0,200.0,6.0,,200.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,33660,349.0,Very Large (300-500),5.857933154483459,1,1,5.303304908059076,9.0,73.4959,2,9,1
010091,GROVE HILL MEMORIAL HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,3.5,12.1,11.5,16.2,73.0,80.0,79.0,61.0,87.0,72.0,60.0,71.0,13.6,19.6,15.9,72.88,Average,Medium,16.0,169.0,162.0,2.0,,162.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,99901,50.0,Small (<50),3.9318256327243257,0,1,5.093750200806762,9.0,73.4959,2,2,1
010092,DCH REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2.0,3.5,13.3,13.6,16.2,61.0,74.0,77.0,58.0,84.0,65.0,56.0,63.0,14.2,20.3,17.0,67.25,Low Performer,Medium,95.0,231.0,228.0,4.0,86.0,228.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,46220,787.0,Major (500+),6.669498089857879,1,1,5.43372200355424,4.0,73.4959,2,2,1
010095,HALE COUNTY HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,3.5,12.1,11.5,16.2,85.0,87.0,86.0,81.0,89.0,82.0,77.0,83.0,13.6,19.6,15.9,83.75,Average,High,47.0,108.0,102.0,4.0,,102.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,46220,39.0,Small (<50),3.6888794541139363,0,1,4.634728988229636,9.0,73.4959,2,2,1
010097,ELMORE COMMUNITY HOSPITAL,AL,Acute Care Hospitals,Proprietary,Yes,3.0,3.5,12.1,11.5,17.9,79.0,84.0,84.0,68.0,84.0,66.0,81.0,70.0,13.6,19.6,16.4,77.0,Average,High,33.0,109.0,107.0,3.0,,107.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,33860,38.0,Small (<50),3.6635616461296463,0,1,4.68213122712422,9.0,73.4959,2,6,1
010099,D W MCMILLAN MEMORIAL HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,1.0,3.5,12.1,10.8,20.7,77.0,74.0,77.0,58.0,85.0,64.0,59.0,61.0,13.6,20.1,15.6,69.38,Low Performer,Medium,49.0,170.0,162.0,4.0,,162.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,99901,65.0,Medium (50-150),4.189654742026425,0,1,5.093750200806762,1.0,73.4959,2,2,1
010100,THOMAS HOSPITAL,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,4.0,12.1,12.7,20.5,65.0,81.0,80.0,62.0,86.0,71.0,61.0,73.0,13.0,20.9,17.1,72.38,Low Performer,Medium,49.0,191.0,189.0,5.0,,189.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,19300,162.0,Large (150-300),5.093750200806762,0,1,5.247024072160486,4.0,73.4959,2,11,1
010101,CITIZENS BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,3.5,12.1,12.6,15.4,79.0,89.0,84.0,73.0,87.0,81.0,76.0,73.0,13.6,19.4,17.8,80.25,Low Performer,High,80.0,120.0,118.0,1.0,,118.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,99901,122.0,Medium (50-150),4.812184355372417,0,1,4.77912349311153,1.0,73.4959,2,11,1
010103,PRINCETON BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,3.3,14.8,10.4,17.0,59.0,78.0,82.0,61.0,81.0,64.0,63.0,61.0,14.6,17.6,15.7,68.62,Average,Medium,67.0,168.0,168.0,1.0,,168.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,13820,505.0,Major (500+),6.226536669287466,1,1,5.1298987149230735,9.0,73.4959,2,9,1
010104,GRANDVIEW MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,Yes,3.0,4.2,12.8,12.6,15.4,58.0,78.0,80.0,58.0,85.0,73.0,66.0,74.0,14.9,19.9,14.7,71.5,Average,Medium,33.0,174.0,176.0,1.0,,176.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,13820,422.0,Very Large (300-500),6.0473721790462776,1,1,5.176149732573829,9.0,73.4959,2,6,1
010108,PRATTVILLE BAPTIST HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,3.5,12.1,13.1,17.7,69.0,79.0,79.0,63.0,87.0,74.0,59.0,70.0,13.6,20.5,15.9,72.5,Average,Medium,94.0,213.0,208.0,6.0,,208.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,33860,85.0,Medium (50-150),4.454347296253507,0,1,5.342334251964811,9.0,73.4959,2,2,1
010110,BULLOCK COUNTY HOSPITAL,AL,Acute Care Hospitals,Proprietary,Yes,3.0,3.5,12.1,11.5,16.2,73.0,80.0,79.0,61.0,87.0,72.0,60.0,71.0,13.6,19.6,15.9,72.88,Average,Medium,,,,,,,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,99901,48.0,Small (<50),3.8918202981106265,0,1,,9.0,73.4959,2,6,1
