facility_id,facility_name,state,hospital_type,performance_tier,predicted_satisfaction_v3,actual_satisfaction,residual,overperforming,median_income,poverty_rate,deprivation_index,bed_count,pct_metro
010044,MARION REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Average,80.6,84.5,3.9,1,54943,15.8,0.319,57.0,60
010045,FAYETTE MEDICAL CENTER,AL,Acute Care Hospitals,High Performer,79.36,82.75,3.39,1,54943,15.8,0.319,61.0,60
010046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Average,70.51,71.12,0.61,1,54943,15.8,0.319,281.0,60
010049,MEDICAL CENTER ENTERPRISE,AL,Acute Care Hospitals,High Performer,73.12,71.75,-1.37,0,54943,15.8,0.319,131.0,60
010051,GREENE COUNTY HOSPITAL,AL,Acute Care Hospitals,Average,76.87,72.88,-3.99,0,54943,15.8,0.319,20.0,60
010052,LAKE MARTIN COMMUNITY HOSPITAL,AL,Acute Care Hospitals,Average,77.33,79.62,2.29,1,54943,15.8,0.319,46.0,60
010055,FLOWERS HOSPITAL,AL,Acute Care Hospitals,Low Performer,68.9,70.88,1.98,1,54943,15.8,0.319,235.0,60
010056,ST VINCENT'S BIRMINGHAM,AL,Acute Care Hospitals,Average,70.03,68.25,-1.78,0,54943,15.8,0.319,409.0,60
010058,BIBB MEDICAL CENTER,AL,Acute Care Hospitals,Average,76.18,74.12,-2.06,0,54943,15.8,0.319,35.0,60
010061,HIGHLANDS MEDICAL CENTER,AL,Acute Care Hospitals,Average,72.22,77.12,4.9,1,54943,15.8,0.319,170.0,60
010062,WIREGRASS MEDICAL CENTER,AL,Acute Care Hospitals,Average,75.05,74.38,-0.67,0,54943,15.8,0.319,87.0,60
010065,RUSSELL MEDICAL CENTER,AL,Acute Care Hospitals,Average,73.38,72.25,-1.13,0,54943,15.8,0.319,81.0,60
010073,CLAY COUNTY HOSPITAL,AL,Acute Care Hospitals,Average,76.61,73.88,-2.73,0,54943,15.8,0.319,46.0,60
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Low Performer,67.87,64.12,-3.75,0,54943,15.8,0.319,323.0,60
010079,ATHENS LIMESTONE HOSPITAL,AL,Acute Care Hospitals,Low Performer,74.45,76.62,2.17,1,54943,15.8,0.319,71.0,60
010083,BALDWIN HEALTH,AL,Acute Care Hospitals,High Performer,72.15,70.5,-1.65,0,54943,15.8,0.319,112.0,60
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,Acute Care Hospitals,Average,71.72,71.75,0.03,1,54943,15.8,0.319,457.0,60
010086,NORTHWEST MEDICAL CENTER,AL,Acute Care Hospitals,High Performer,74.28,71.25,-3.03,0,54943,15.8,0.319,71.0,60
010087,USA HEALTH UNIVERSITY HOSPITAL,AL,Acute Care Hospitals,Low Performer,68.78,69.25,0.47,1,54943,15.8,0.319,406.0,60
010089,WALKER BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals,Average,69.09,63.62,-5.47,0,54943,15.8,0.319,267.0,60
010090,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",AL,Acute Care Hospitals,Average,67.82,65.88,-1.94,0,54943,15.8,0.319,349.0,60
010091,GROVE HILL MEMORIAL HOSPITAL,AL,Acute Care Hospitals,Average,75.21,72.88,-2.33,0,54943,15.8,0.319,50.0,60
010092,DCH REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Low Performer,68.7,67.25,-1.45,0,54943,15.8,0.319,787.0,60
010095,HALE COUNTY HOSPITAL,AL,Acute Care Hospitals,Average,77.51,83.75,6.24,1,54943,15.8,0.319,39.0,60
010097,ELMORE COMMUNITY HOSPITAL,AL,Acute Care Hospitals,Average,76.2,77.0,0.8,1,54943,15.8,0.319,38.0,60
010099,D W MCMILLAN MEMORIAL HOSPITAL,AL,Acute Care Hospitals,Low Performer,71.58,69.38,-2.2,0,54943,15.8,0.319,65.0,60
010100,THOMAS HOSPITAL,AL,Acute Care Hospitals,Low Performer,71.51,72.38,0.87,1,54943,15.8,0.319,162.0,60
010101,CITIZENS BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals,Low Performer,71.13,80.25,9.12,1,54943,15.8,0.319,122.0,60
010103,PRINCETON BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals,Average,68.22,68.62,0.4,1,54943,15.8,0.319,505.0,60
010104,GRANDVIEW MEDICAL CENTER,AL,Acute Care Hospitals,Average,69.88,71.5,1.62,1,54943,15.8,0.319,422.0,60
010108,PRATTVILLE BAPTIST HOSPITAL,AL,Acute Care Hospitals,Average,74.26,72.5,-1.76,0,54943,15.8,0.319,85.0,60
010110,BULLOCK COUNTY HOSPITAL,AL,Acute Care Hospitals,Average,75.66,72.88,-2.78,0,54943,15.8,0.319,48.0,60
010112,WHITFIELD REGIONAL HOSPITAL,AL,Acute Care Hospitals,Low Performer,70.43,67.62,-2.81,0,54943,15.8,0.319,99.0,60
010113,MOBILE INFIRMARY MEDICAL CENTER,AL,Acute Care Hospitals,Low Performer,69.35,69.25,-0.1,0,54943,15.8,0.319,669.0,60
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,Acute Care Hospitals,Average,71.09,70.88,-0.21,0,54943,15.8,0.319,310.0,60
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,Acute Care Hospitals,Low Performer,66.36,66.38,0.02,1,54943,15.8,0.319,214.0,60
010120,MONROE COUNTY HOSPITAL,AL,Acute Care Hospitals,Low Performer,72.11,72.0,-0.11,0,54943,15.8,0.319,94.0,60
010125,LAKELAND COMMUNITY HOSPITAL,AL,Acute Care Hospitals,Average,77.75,78.75,1.0,1,54943,15.8,0.319,49.0,60
010126,TROY REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,High Performer,74.4,74.25,-0.15,0,54943,15.8,0.319,97.0,60
010128,JACKSON MEDICAL CENTER,AL,Acute Care Hospitals,Average,81.77,85.75,3.98,1,54943,15.8,0.319,35.0,60
010129,NORTH BALDWIN INFIRMARY,AL,Acute Care Hospitals,Average,75.92,82.0,6.08,1,54943,15.8,0.319,78.0,60
010130,ST VINCENT'S ST CLAIR,AL,Acute Care Hospitals,Average,74.2,73.62,-0.58,0,54943,15.8,0.319,40.0,60
010131,CRESTWOOD MEDICAL CENTER,AL,Acute Care Hospitals,Average,68.95,68.12,-0.83,0,54943,15.8,0.319,147.0,60
010138,HILL HOSPITAL OF SUMTER COUNTY,AL,Acute Care Hospitals,Average,75.74,72.88,-2.86,0,54943,15.8,0.319,33.0,60
010139,BAPTIST HEALTH BROOKWOOD HOSPITAL,AL,Acute Care Hospitals,Average,68.67,65.25,-3.42,0,54943,15.8,0.319,595.0,60
010144,SPRINGHILL MEDICAL CENTER,AL,Acute Care Hospitals,Average,71.05,67.75,-3.3,0,54943,15.8,0.319,263.0,60
010148,EVERGREEN MEDICAL CENTER,AL,Acute Care Hospitals,Average,76.08,76.0,-0.08,0,54943,15.8,0.319,44.0,60
010149,BAPTIST MEDICAL CENTER EAST,AL,Acute Care Hospitals,High Performer,73.02,72.75,-0.27,0,54943,15.8,0.319,150.0,60
01014F,BIRMINGHAM VA MEDICAL CENTER,AL,Acute Care - Veterans Administration,High Performer,75.79,76.12,0.33,1,54943,15.8,0.319,479.0,60
010150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,AL,Acute Care Hospitals,Average,75.61,69.25,-6.36,0,54943,15.8,0.319,72.0,60
010157,NORTH ALABAMA SHOALS HOSPITAL,AL,Acute Care Hospitals,Average,72.17,86.62,14.45,1,54943,15.8,0.319,198.0,60
010158,RUSSELLVILLE HOSPITAL,AL,Acute Care Hospitals,High Performer,74.91,70.5,-4.41,0,54943,15.8,0.319,100.0,60
010164,COOSA VALLEY MEDICAL CENTER,AL,Acute Care Hospitals,Average,73.13,71.88,-1.25,0,54943,15.8,0.319,168.0,60
010168,JACK HUGHSTON MEMORIAL HOSPITAL,AL,Acute Care Hospitals,High Performer,77.6,81.75,4.15,1,54943,15.8,0.319,70.0,60
010169,ATMORE COMMUNITY HOSPITAL,AL,Acute Care Hospitals,Average,76.37,75.38,-0.99,0,54943,15.8,0.319,49.0,60
010173,ST VINCENT'S CHILTON,AL,Acute Care Hospitals,Average,76.55,80.38,3.83,1,54943,15.8,0.319,30.0,60
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,AL,Acute Care - Veterans Administration,High Performer,77.92,77.38,-0.54,0,54943,15.8,0.319,285.0,60
01021F,TUSCALOOSA VA MEDICAL CENTER,AL,Acute Care - Veterans Administration,Average,74.73,72.88,-1.85,0,54943,15.8,0.319,928.0,60
010779,BULLOCK COUNTY HOSPITAL,AL,Rural Emergency Hospital,Average,72.56,72.88,0.32,1,54943,15.8,0.319,1.0,60
010780,EAMC - LANIER,AL,Rural Emergency Hospital,Average,72.95,72.88,-0.07,0,54943,15.8,0.319,1.0,60
010781,J PAUL JONES HOSPITAL,AL,Rural Emergency Hospital,Average,73.17,72.88,-0.29,0,54943,15.8,0.319,1.0,60
011300,WASHINGTON COUNTY HOSPITAL,AL,Critical Access Hospitals,Average,74.74,77.0,2.26,1,54943,15.8,0.319,25.0,60
011302,RED BAY HOSPITAL,AL,Critical Access Hospitals,Average,77.52,82.75,5.23,1,54943,15.8,0.319,25.0,60
011304,OCHSNER CHOCTAW GENERAL,AL,Critical Access Hospitals,Average,77.08,81.62,4.54,1,54943,15.8,0.319,25.0,60
011305,ST VINCENTS BLOUNT,AL,Critical Access Hospitals,Average,76.88,72.88,-4.0,0,54943,15.8,0.319,25.0,60
011306,TANNER MEDICAL CENTER-EAST ALABAMA,AL,Critical Access Hospitals,Average,84.84,87.88,3.04,1,54943,15.8,0.319,15.0,60
011307,MEDICAL CENTER BARBOUR,AL,Critical Access Hospitals,Average,75.21,72.88,-2.33,0,54943,15.8,0.319,35.0,60
011308,CRENSHAW COMMUNITY HOSPITAL,AL,Critical Access Hospitals,Average,75.8,72.88,-2.92,0,54943,15.8,0.319,35.0,60
011309,WIREGRASS MEDICAL CENTER,AL,Critical Access Hospitals,Average,74.16,72.88,-1.28,0,54943,15.8,0.319,35.0,60
013300,THE CHILDREN'S HOSPITAL OF ALABAMA,AL,Childrens,Average,72.33,72.88,0.55,1,54943,15.8,0.319,332.0,60
013301,USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL,AL,Childrens,Average,73.25,72.88,-0.37,0,54943,15.8,0.319,152.0,60
014000,HILL CREST BEHAVIORAL HEALTH SERVICES,AL,Psychiatric,Average,73.06,72.88,-0.18,0,54943,15.8,0.319,94.0,60
014006,MOUNTAIN VIEW HOSPITAL,AL,Psychiatric,Average,73.04,72.88,-0.16,0,54943,15.8,0.319,68.0,60
014007,BRYCE HOSPITAL,AL,Psychiatric,Average,72.71,72.88,0.17,1,54943,15.8,0.319,268.0,60
014012,MARY S HARPER GERIATRIC PSYCHIATRY CENTER,AL,Psychiatric,Average,73.43,72.88,-0.55,0,54943,15.8,0.319,96.0,60
014014,BAYPOINTE BEHAVIORAL HEALTH,AL,Psychiatric,Average,73.1,72.88,-0.22,0,54943,15.8,0.319,74.0,60
014015,BEACON CHILDREN'S HOSPITAL,AL,Psychiatric,Average,72.83,72.88,0.05,1,54943,15.8,0.319,28.0,60
014016,"SANCTUARY AT THE WOODLANDS, THE",AL,Psychiatric,Average,72.74,72.88,0.14,1,54943,15.8,0.319,40.0,60
014017,EASTPOINTE HOSPITAL,AL,Psychiatric,Average,73.24,72.88,-0.36,0,54943,15.8,0.319,66.0,60
014018,UNITY PSYCHIATRIC CARE - HUNTSVILLE,AL,Psychiatric,Average,72.76,72.88,0.12,1,54943,15.8,0.319,20.0,60
020001,PROVIDENCE ALASKA MEDICAL CENTER,AK,Acute Care Hospitals,Average,67.6,70.88,3.28,1,82380,10.1,0.532,401.0,38
020006,MAT-SU REGIONAL MEDICAL CENTER,AK,Acute Care Hospitals,Average,72.34,72.5,0.16,1,82380,10.1,0.532,74.0,38
020008,BARTLETT REGIONAL HOSPITAL,AK,Acute Care Hospitals,High Performer,72.4,79.25,6.85,1,82380,10.1,0.532,57.0,38
020012,FAIRBANKS MEMORIAL HOSPITAL,AK,Acute Care Hospitals,Low Performer,69.35,69.88,0.53,1,82380,10.1,0.532,162.0,38
020017,ALASKA REGIONAL HOSPITAL,AK,Acute Care Hospitals,Low Performer,69.28,70.38,1.1,1,82380,10.1,0.532,250.0,38
020018,YUKON KUSKOKWIM DELTA REG HOSPITAL,AK,Acute Care Hospitals,High Performer,71.42,66.12,-5.3,0,82380,10.1,0.532,50.0,38
020024,CENTRAL PENINSULA GENERAL HOSPITAL,AK,Acute Care Hospitals,Low Performer,72.52,73.25,0.73,1,82380,10.1,0.532,49.0,38
020026,ALASKA NATIVE MEDICAL CENTER,AK,Acute Care Hospitals,Low Performer,68.83,65.88,-2.95,0,82380,10.1,0.532,167.0,38
02013F,673rd Medical Group (Joint Base Elmendorf-Richardson),AK,Acute Care - Department of Defense,Average,78.24,77.88,-0.36,0,82380,10.1,0.532,,38
02014F,Bassett ACH (FT Wainwright),AK,Acute Care - Department of Defense,Average,78.5,81.12,2.62,1,82380,10.1,0.532,,38
021301,PROVIDENCE VALDEZ MEDICAL CENTER,AK,Critical Access Hospitals,Average,73.68,72.88,-0.8,0,82380,10.1,0.532,11.0,38
021302,PROVIDENCE SEWARD HOSPITAL,AK,Critical Access Hospitals,Average,72.79,72.88,0.09,1,82380,10.1,0.532,6.0,38
021304,PETERSBURG MEDICAL CENTER,AK,Critical Access Hospitals,Average,73.16,72.88,-0.28,0,82380,10.1,0.532,12.0,38
021305,SEARHC WRANGELL MEDICAL CENTER & LTC,AK,Critical Access Hospitals,Average,73.11,72.88,-0.23,0,82380,10.1,0.532,8.0,38
021306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,AK,Critical Access Hospitals,Average,77.06,78.5,1.44,1,82380,10.1,0.532,25.0,38
021307,CORDOVA COMMUNITY MEDICAL CENTER,AK,Critical Access Hospitals,Average,73.72,72.88,-0.84,0,82380,10.1,0.532,13.0,38
021308,NORTON SOUND REGIONAL HOSPITAL,AK,Critical Access Hospitals,Average,73.65,72.88,-0.77,0,82380,10.1,0.532,21.0,38
021309,BRISTOL BAY DBA KANAKANAK HOSPITAL,AK,Critical Access Hospitals,Average,73.6,72.88,-0.72,0,82380,10.1,0.532,15.0,38
021310,MANIILAQ HEALTH CENTER,AK,Critical Access Hospitals,Average,73.62,72.88,-0.74,0,82380,10.1,0.532,17.0,38
021311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,AK,Critical Access Hospitals,High Performer,76.28,76.0,-0.28,0,82380,10.1,0.532,25.0,38
021312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,AK,Critical Access Hospitals,Average,73.04,72.88,-0.16,0,82380,10.1,0.532,10.0,38
021313,SOUTH PENINSULA HOSPITAL,AK,Critical Access Hospitals,Average,76.75,79.38,2.63,1,82380,10.1,0.532,22.0,38
021314,SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM,AK,Critical Access Hospitals,Average,74.13,72.88,-1.25,0,82380,10.1,0.532,25.0,38
024001,NORTH STAR HOSPITAL,AK,Psychiatric,Average,72.26,72.88,0.62,1,82380,10.1,0.532,140.0,38
024002,ALASKA PSYCHIATRIC INSTITUTE,AK,Psychiatric,Average,72.64,72.88,0.24,1,82380,10.1,0.532,95.0,38
030002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,AZ,Acute Care Hospitals,Average,66.57,67.75,1.18,1,68138,12.9,0.239,766.0,88
030006,TUCSON MEDICAL CENTER,AZ,Acute Care Hospitals,Low Performer,64.79,64.5,-0.29,0,68138,12.9,0.239,596.0,88
030007,VERDE VALLEY MEDICAL CENTER,AZ,Acute Care Hospitals,High Performer,70.39,69.5,-0.89,0,68138,12.9,0.239,98.0,88
030010,ST. MARY'S HOSPITAL,AZ,Acute Care Hospitals,Low Performer,63.78,61.75,-2.03,0,68138,12.9,0.239,400.0,88
030011,ST JOSEPH'S HOSPITAL,AZ,Acute Care Hospitals,Average,65.1,58.62,-6.48,0,68138,12.9,0.239,486.0,88
030012,YAVAPAI REGIONAL MEDICAL CENTER,AZ,Acute Care Hospitals,Low Performer,65.39,67.62,2.23,1,68138,12.9,0.239,218.0,88
030013,YUMA REGIONAL MEDICAL CENTER,AZ,Acute Care Hospitals,Low Performer,66.6,67.38,0.78,1,68138,12.9,0.239,369.0,88
030014,HONOR HEALTH JOHN C. LINCOLN MEDICAL CENTER,AZ,Acute Care Hospitals,Average,67.76,69.88,2.12,1,68138,12.9,0.239,262.0,88
030016,BANNER CASA GRANDE MEDICAL CENTER,AZ,Acute Care Hospitals,Low Performer,64.79,64.38,-0.41,0,68138,12.9,0.239,141.0,88
030022,VALLEYWISE HEALTH MEDICAL CENTER,AZ,Acute Care Hospitals,Low Performer,66.42,69.88,3.46,1,68138,12.9,0.239,758.0,88
030023,FLAGSTAFF MEDICAL CENTER,AZ,Acute Care Hospitals,High Performer,70.43,69.0,-1.43,0,68138,12.9,0.239,264.0,88
030024,ST JOSEPHS HOSPITAL AND MEDICAL CENTER,AZ,Acute Care Hospitals,High Performer,69.16,72.12,2.96,1,68138,12.9,0.239,586.0,88
030030,ABRAZO CENTRAL CAMPUS,AZ,Acute Care Hospitals,Low Performer,62.53,61.88,-0.65,0,68138,12.9,0.239,206.0,88
030036,CHANDLER REGIONAL MEDICAL CENTER,AZ,Acute Care Hospitals,High Performer,69.77,70.62,0.85,1,68138,12.9,0.239,429.0,88
030037,HONORHEALTH TEMPE MEDICAL CENTER,AZ,Acute Care Hospitals,Average,68.1,63.38,-4.72,0,68138,12.9,0.239,219.0,88
030038,HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER,AZ,Acute Care Hospitals,Average,67.69,70.88,3.19,1,68138,12.9,0.239,341.0,88
030043,CANYON VISTA MEDICAL CENTER,AZ,Acute Care Hospitals,Low Performer,67.0,67.25,0.25,1,68138,12.9,0.239,100.0,88
030055,KINGMAN REGIONAL MEDICAL CENTER,AZ,Acute Care Hospitals,Average,67.69,66.88,-0.81,0,68138,12.9,0.239,235.0,88
030061,BANNER BOSWELL MEDICAL CENTER,AZ,Acute Care Hospitals,Average,65.93,62.0,-3.93,0,68138,12.9,0.239,434.0,88
030062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,Acute Care Hospitals,High Performer,71.36,68.25,-3.11,0,68138,12.9,0.239,101.0,88
030064,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,AZ,Acute Care Hospitals,Average,66.74,66.5,-0.24,0,68138,12.9,0.239,625.0,88
030065,BANNER DESERT MEDICAL CENTER,AZ,Acute Care Hospitals,Low Performer,62.11,60.38,-1.73,0,68138,12.9,0.239,595.0,88
030069,HAVASU REGIONAL MEDICAL CENTER,AZ,Acute Care Hospitals,Average,66.2,63.38,-2.82,0,68138,12.9,0.239,152.0,88
030071,FORT DEFIANCE INDIAN HOSPITAL,AZ,Acute Care Hospitals,Average,71.4,70.62,-0.78,0,68138,12.9,0.239,70.0,88
030073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,AZ,Acute Care Hospitals,Average,70.8,68.88,-1.92,0,68138,12.9,0.239,103.0,88
030074,SELLS HOSPITAL,AZ,Acute Care Hospitals,Average,74.14,72.88,-1.26,0,68138,12.9,0.239,32.0,88
030078,PHOENIX INDIAN MEDICAL CENTER,AZ,Acute Care Hospitals,Average,72.15,76.0,3.85,1,68138,12.9,0.239,179.0,88
030083,ABRAZO SCOTTSDALE CAMPUS,AZ,Acute Care Hospitals,Average,67.03,63.0,-4.03,0,68138,12.9,0.239,136.0,88
030084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,AZ,Acute Care Hospitals,Average,66.94,61.75,-5.19,0,68138,12.9,0.239,10.0,88
030085,NORTHWEST MEDICAL CENTER,AZ,Acute Care Hospitals,Low Performer,59.91,57.0,-2.91,0,68138,12.9,0.239,300.0,88
030087,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,AZ,Acute Care Hospitals,Average,66.47,69.12,2.65,1,68138,12.9,0.239,425.0,88
030088,BANNER BAYWOOD MEDICAL CENTER,AZ,Acute Care Hospitals,Low Performer,63.52,63.88,0.36,1,68138,12.9,0.239,359.0,88
030089,BANNER THUNDERBIRD MEDICAL CENTER,AZ,Acute Care Hospitals,High Performer,69.13,60.62,-8.51,0,68138,12.9,0.239,561.0,88
030092,HONORHEALTH DEER VALLEY MEDICAL CENTER,AZ,Acute Care Hospitals,Average,69.39,71.0,1.61,1,68138,12.9,0.239,204.0,88
030093,BANNER DEL E. WEBB MEDICAL CENTER,AZ,Acute Care Hospitals,Average,64.45,61.12,-3.33,0,68138,12.9,0.239,394.0,88
030094,ABRAZO ARROWHEAD HOSPITAL,AZ,Acute Care Hospitals,Low Performer,63.31,63.88,0.57,1,68138,12.9,0.239,217.0,88
030101,WESTERN ARIZONA REGIONAL MEDICAL CENTER,AZ,Acute Care Hospitals,Low Performer,62.71,61.88,-0.83,0,68138,12.9,0.239,139.0,88
030103,MAYO CLINIC HOSPITAL,AZ,Acute Care Hospitals,High Performer,80.81,83.62,2.81,1,68138,12.9,0.239,280.0,88
030105,BANNER HEART HOSPITAL,AZ,Acute Care Hospitals,Low Performer,68.94,68.38,-0.56,0,68138,12.9,0.239,111.0,88
030107,ARIZONA SPINE AND JOINT HOSPITAL,AZ,Acute Care Hospitals,Average,76.98,76.62,-0.36,0,68138,12.9,0.239,23.0,88
030108,THE CORE INSTITUTE SPECIALTY HOSP,AZ,Acute Care Hospitals,Average,76.87,77.75,0.88,1,68138,12.9,0.239,32.0,88
030110,ABRAZO WEST CAMPUS,AZ,Acute Care Hospitals,Low Performer,60.26,57.25,-3.01,0,68138,12.9,0.239,200.0,88
030111,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,AZ,Acute Care Hospitals,High Performer,70.36,62.88,-7.48,0,68138,12.9,0.239,245.0,88
030112,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL,AZ,Acute Care Hospitals,Average,79.55,79.0,-0.55,0,68138,12.9,0.239,24.0,88
030113,WHITERIVER PHS INDIAN HOSPITAL,AZ,Acute Care Hospitals,Average,72.8,70.25,-2.55,0,68138,12.9,0.239,40.0,88
030114,ORO VALLEY HOSPITAL,AZ,Acute Care Hospitals,Average,67.41,65.75,-1.66,0,68138,12.9,0.239,146.0,88
030115,BANNER ESTRELLA MEDICAL CENTER,AZ,Acute Care Hospitals,Average,66.61,69.88,3.27,1,68138,12.9,0.239,317.0,88
030117,VALLEY VIEW MEDICAL CENTER,AZ,Acute Care Hospitals,Low Performer,67.64,70.25,2.61,1,68138,12.9,0.239,84.0,88
030119,MERCY GILBERT MEDICAL CENTER,AZ,Acute Care Hospitals,High Performer,73.34,72.62,-0.72,0,68138,12.9,0.239,197.0,88
030121,HONORHEALTH FOUR PEAKS MEDICAL CENTER,AZ,Acute Care Hospitals,Low Performer,64.07,64.38,0.31,1,68138,12.9,0.239,178.0,88
030122,BANNER GATEWAY MEDICAL CENTER,AZ,Acute Care Hospitals,Average,68.42,70.12,1.7,1,68138,12.9,0.239,177.0,88
030123,HONORHEALTH SCOTTSDALE THOMPSON PEAK MED CTR,AZ,Acute Care Hospitals,High Performer,74.46,75.62,1.16,1,68138,12.9,0.239,120.0,88
03012F,PHOENIX VA MEDICAL CENTER,AZ,Acute Care - Veterans Administration,High Performer,76.2,70.38,-5.82,0,68138,12.9,0.239,295.0,88
030130,BANNER IRONWOOD MEDICAL CENTER,AZ,Acute Care Hospitals,Average,70.2,71.0,0.8,1,68138,12.9,0.239,53.0,88
030134,BANNER GOLDFIELD MEDICAL CENTER,AZ,Acute Care Hospitals,High Performer,78.41,73.25,-5.16,0,68138,12.9,0.239,20.0,88
030136,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,AZ,Acute Care Hospitals,Average,78.54,79.12,0.58,1,68138,12.9,0.239,16.0,88
030138,CITY OF HOPE CANCER CENTER PHOENIX,AZ,Acute Care Hospitals,High Performer,76.1,78.5,2.4,1,68138,12.9,0.239,38.0,88
030139,DIGNITY HEALTH ARIZONA GENERAL HOSPITAL,AZ,Acute Care Hospitals,High Performer,76.53,75.38,-1.15,0,68138,12.9,0.239,50.0,88
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,AZ,Acute Care - Veterans Administration,High Performer,75.02,74.25,-0.77,0,68138,12.9,0.239,381.0,88
